region,variety,method,score
guji-hambela,Other,Washed / Wet,89.92
guji-hambela,Other,Washed / Wet,88.83
"snnp/kaffa zone,gimbowereda",Other,Natural / Dry,88.25
antioquia,Other,Washed / Wet,87.92
antioquia,Other,Washed / Wet,87.92
antioquia,Other,Washed / Wet,87.58
yunnan,Catimor,Washed / Wet,87.25
gedio,Ethiopian Yirgacheffe,Natural / Dry,87.25
antioquia,Other,Washed / Wet,87.25
san ramon,Caturra,Washed / Wet,87.17
xalapa,Other,Washed / Wet,87.17
antioquia,Other,Washed / Wet,87.08
south of minas,Bourbon,Natural / Dry,86.92
kapchorwa eastern,SL14,Washed / Wet,86.83
"leye, alishan township, chiayi county",Sumatra,Pulped natural / honey,86.58
vale da grama,Bourbon,Natural / Dry,86.42
west and central valley,Caturra,Washed / Wet,86.33
muranga,SL34,Washed / Wet,86.25
kona,Hawaiian Kona,Natural / Dry,86.25
antioquia,Other,Washed / Wet,86.17
chiang rai,Caturra,Washed / Wet,86.17
natou county,Bourbon,Semi-washed / Semi-pulped,86.08
nyeri,SL28,Natural / Dry,86.08
south of minas,Bourbon,Semi-washed / Semi-pulped,86.08
tolima,Caturra,Washed / Wet,86
kiambu,SL28,Washed / Wet,86
"sipi, mt elgon",Other,Washed / Wet,86
nuevo oriente,Bourbon,Washed / Wet,85.92
eastern,SL14,Natural / Dry,85.92
huila,Caturra,Washed / Wet,85.92
boquete,Gesha,Washed / Wet,85.83
acatenango,Bourbon,Washed / Wet,85.83
nuevo oriente,Catuai,Washed / Wet,85.83
addis ababa,Caturra,Natural / Dry,85.75
apaneca,Bourbon,Washed / Wet,85.58
"ataco, apaneca - ilamatepec mountain range",Bourbon,Semi-washed / Semi-pulped,85.58
kona,Hawaiian Kona,Natural / Dry,85.58
boquete,Caturra,Natural / Dry,85.5
kirinyaga,SL28,Natural / Dry,85.5
oromia,Other,Natural / Dry,85.5
bulambuli eastern region,SL14,Washed / Wet,85.5
huehuetenango,Bourbon,Washed / Wet,85.5
kapchorwa,SL14,Washed / Wet,85.42
kona,Hawaiian Kona,Natural / Dry,85.42
south of minas,Bourbon,Semi-washed / Semi-pulped,85.42
yunnan,Catimor,Natural / Dry,85.33
huehuetenango,Pacamara,Natural / Dry,85.33
west valley,Caturra,Washed / Wet,85.33
san ramon,Caturra,Washed / Wet,85.33
central kenya,SL34,Washed / Wet,85.33
central kenya,SL34,Washed / Wet,85.33
santander,Caturra,Washed / Wet,85.25
santander,Caturra,Natural / Dry,85.25
lintong,Sumatra Lintong,Semi-washed / Semi-pulped,85.17
huehuetenango,Caturra,Washed / Wet,85.17
"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",Other,Natural / Dry,85.08
pasto,Caturra,Natural / Dry,85.08
kona,Hawaiian Kona,Natural / Dry,85.08
cundinamarca,Caturra,Natural / Dry,85.08
eastern uganda,SL14,Washed / Wet,85
huila,Caturra,Washed / Wet,85
tarrazu,Catuai,Washed / Wet,85
veracruz,Typica,Washed / Wet,85
central kenya,SL34,Washed / Wet,85
grama valley,Mundo Novo,Natural / Dry,85
huila,Caturra,Washed / Wet,84.92
